Steinbourg#Alsace#Rue de la Gare, 67790 Steinbourg, France#48.7668653#7.4135489
Stephansfeld#Alsace#Rue de la Gare, 67170 Brumath, France#48.7328906#7.7018125
St-Gilles (Haut-Rhin)#Alsace#Haut-Rhin, France#47.9315041#7.2441099
St-Louis (Haut-Rhin)#Alsace#Saint-Louis (Haut-Rhin), 68300 Saint-Louis, France#47.5896496#7.5569536
St-Louis-la-Chaussée#Alsace#Rue de la Gare, 68730 Blotzheim, France#47.6046002#7.4982793
Strasbourg-Roethig#Alsace#Alsace, France#48.3181795#7.4416241
Strasbourg-Ville#Alsace#Place de la Gare, 67000 Strasbourg, France#48.5847646#7.7359203
Tagolsheim#Alsace#Rue de la Gare, 68720 Tagolsheim, France#47.6549753#7.2650504
Thann#Alsace#Rue de la Gare, 68760 Willer-sur-Thur, France#47.8431443#7.0692472
Thann Saint-Jacques#Alsace#Alsace, France#48.3181795#7.4416241
Tieffenbach-Struth#Alsace#Struth, France#48.8920777#7.254649
Turckheim#Alsace#Quai de la Gare, 68230 Turckheim, France#48.0853993#7.2759511
Urmatt#Alsace#Rue de la Gare, 67280 Urmatt, France#48.5259972#7.3405495
Valdieu#Alsace#Rue de la Gare, 68210 Montreux-Vieux, France#47.6177246#7.0243233
Vendenheim#Alsace#Rue de la Gare, 67550 Vendenheim, France#48.6671582#7.7168102
Vieux-Thann#Alsace#Rue de la Gare, 68620 Bitschwiller-lès-Thann, France#47.8273901#7.0788014
Voellerdingen#Alsace#Rue de la Gare, 67260 Sarre-Union, France#48.9359917#7.0855629
Walbach-la-Forge#Alsace#Route de la Gare, 68230 Walbach, France#48.0608969#7.2252453
Walbourg#Alsace#Rue de la Gare, 67360 Walbourg, France#48.885291#7.8078613
Walheim#Alsace#Rue de la Gare, 68130 Walheim, France#47.6417691#7.263381
Wesserling#Alsace#Rue de la Gare, 68470 Husseren-Wesserling, France#47.8851639#6.9884474
Weyersheim#Alsace#Rue de la Gare, 67720 Weyersheim, France#48.7173846#7.7948885
Wihr-au-Val-Soultzbach#Alsace#Rue de la Gare, 68230, France#48.0442705#7.2062327
Willer-sur-Thur#Alsace#Rue de la Gare, 68760 Willer-sur-Thur, France#47.8431443#7.0692472
Wilwisheim#Alsace#Rue de la Gare, 67270 Wilwisheim, France#48.7465836#7.5078117
Wingen-sur-Moder#Alsace#Rue de la Gare, 67290 Wingen-sur-Moder, France#48.9198047#7.3779034
Wisches#Alsace#Rue de la Gare, 67130 Wisches, France#48.5079807#7.2698211
Wissembourg#Alsace#Avenue de la Gare, 67160 Wissembourg, France#49.0327402#7.9481003
Wittelsheim#Alsace#Rue de la Gare, 68310 Wittelsheim, France#47.780521#7.2264555
Zillisheim#Alsace#Rue de la Gare, 68720 Zillisheim, France#47.6944877#7.2938092
Zornhoff-Monswiller#Alsace#Monswiller, France#48.7547769#7.3772739
Agen#Aquitaine#Rue de la Gare, 47480 Pont-du-Casse, France#44.2338216#0.6767119
Agonac#Aquitaine#Agonac, France#45.2917401#0.750315
Aiguillon#Aquitaine#Avenue de la Gare, 47190 Aiguillon, France#44.2983293#0.3355634
Alles-sur-Dordogne#Aquitaine#Avenue de la Gare, 24480 Le Buisson-de-Cadouin, France#44.8469983#0.9101122
Alouette-France#Aquitaine#France, 33600 Pessac, France#44.79398#-0.66983
Arbanats#Aquitaine#Rue de la Gare, 33640 Arbanats, France#44.673349#-0.3946153
Arcachon#Aquitaine#Arcachon, France#44.6547755#-1.1499306
Arengosse#Aquitaine#Place de la Gare, 40110 Ygos-Saint-Saturnin, France#43.977994#-0.7359209
Artix#Aquitaine#Rue de la Gare, 64170 Artix, France#43.3940125#-0.5710127
Assat#Aquitaine#Impasse de la Gare, 64510 Assat, France#43.2545999#-0.2954568
Aubie-St-Antoine#Aquitaine#Rue de la Gare, 33240 Aubie-et-Espessas, France#45.0184506#-0.4173483
Barsac#Aquitaine#Rue de la Gare, 33720 Barsac, France#44.6034124#-0.3189932
Bassens-Ville#Aquitaine#Place de la Gare, 33530 Bassens, France#44.9009811#-0.5219228
Bayonne#Aquitaine#Route de la Gare, 64990 Lahonce, France#43.4905478#-1.3863871
Beautiran#Aquitaine#Rue de la Gare, 33640 Beautiran, France#44.7011057#-0.4511702
Bègles#Aquitaine#Rue de la Gare, 33130 Bègles, France#44.8005026#-0.5445
Belvès#Aquitaine#La Gare, 24230 Lamothe-Montravel, France#44.8540881#0.022508
Bénesse-Maremne#Aquitaine#La Gare, 40150 Soorts-Hossegor, France#43.6648829#-1.3909366
Bergerac#Aquitaine#La Gare, 24520 Saint-Nexans, France#44.8066113#0.5624448
Biarritz#Aquitaine#Avenue de la Gare, 64200 Biarritz, France#43.4783919#-1.5570007
Blanquefort#Aquitaine#Rue de la Gare, 33290 Blanquefort, France#44.9174173#-0.6254938
Bordeaux-St-Jean#Aquitaine#Gare Saint-Jean, 33800 Bordeaux, France#44.8259#-0.55683
Bordeaux-St-Louis-Voyageurs#Aquitaine#Aquitania, France#44.7002222#-0.2995785
Bruges#Aquitaine#Rue de la Gare, 33290 Blanquefort, France#44.9174173#-0.6254938
Buzy-en-Béarn#Aquitaine#Aquitania, France#44.7002222#-0.2995785
Cadaujac#Aquitaine#Rue de la Gare, 33140 Cadaujac, France#44.7519231#-0.537255
Cambo-les-Bains#Aquitaine#Avenue de la Gare, 64250 Cambo-les-Bains, France#43.3639817#-1.397665
Castillon#Aquitaine#La Gare, 24230 Lamothe-Montravel, France#44.8540881#0.022508
Caudéran-Mérignac#Aquitaine#Avenue de la Gare, France#44.8430928#-0.62878
Caudrot#Aquitaine#Rue de la Gare, 33490 Caudrot, France#44.5795837#-0.1454386
Cavignac#Aquitaine#Rue de la Gare, 33620 Cavignac, France#45.106856#-0.3838171
Cenon#Aquitaine#Cenon Gare, 33150 Cenon, France#44.856#-0.53423
Cerons#Aquitaine#Rue de la Gare, 33720 Barsac, France#44.6034124#-0.3189932
Château-l'Évèque#Aquitaine#La Gare, 24000 Périgueux, France#45.1883305#0.7075646
Coarraze-Nay#Aquitaine#Avenue de la Gare, 64800 Coarraze, France#43.1763823#-0.2382964
Condat-le-Lardin#Aquitaine#Aquitania, France#44.7002222#-0.2995785
